Año;Mes;Centro;Visitantes;fecha
2022;Julio;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;9656;2022-07
2022;Julio;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);2884;2022-07
2022;Julio;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);4350;2022-07
2022;Agosto;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;18274;2022-08
2022;Agosto;PALACIO DE QUINTANAR;4975;2022-08
2022;Agosto;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);51133;2022-08
2022;Agosto;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;16099;2022-08
2022;Agosto;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);3663;2022-08
2022;Agosto;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);4245;2022-08
2022;Agosto;CENTRO CULTURAL MIGUEL DELIBES (programación propia);0;2022-08
2022;Agosto;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);8491;2022-08
2022;Septiembre;CENTRO CULTURAL MIGUEL DELIBES (programación propia);1805;2022-09
2022;Septiembre;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;7349;2022-09
2022;Septiembre;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);3210;2022-09
2022;Septiembre;PALACIO DE QUINTANAR;2895;2022-09
2022;Septiembre;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);25229;2022-09
2022;Septiembre;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;7554;2022-09
2022;Septiembre;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);2493;2022-09
2022;Septiembre;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);3502;2022-09
2022;Octubre;CENTRO CULTURAL MIGUEL DELIBES (programación propia);16631;2022-10
2022;Octubre;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);4931;2022-10
2022;Octubre;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);6053;2022-10
2022;Octubre;PALACIO DE QUINTANAR;2015;2022-10
2022;Octubre;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;12171;2022-10
2022;Octubre;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);3045;2022-10
2022;Octubre;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);32524;2022-10
2022;Octubre;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;11912;2022-10
2022;Noviembre;CENTRO CULTURAL MIGUEL DELIBES (programación propia);8002;2022-11
2022;Noviembre;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);22056;2022-11
2022;Noviembre;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);7844;2022-11
2022;Noviembre;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);1954;2022-11
2022;Noviembre;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;7884;2022-11
2022;Noviembre;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);3823;2022-11
2022;Noviembre;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;8645;2022-11
2022;Noviembre;PALACIO DE QUINTANAR;1713;2022-11
2022;Diciembre;CENTRO CULTURAL MIGUEL DELIBES (programación propia);6136;2022-12
2022;Diciembre;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);26711;2022-12
2022;Diciembre;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;6495;2022-12
